id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
44dcdaa7-10b8-4df7-bbf1-0b5d9d60da60,designs.engineering,available,11.99,,high,low,7,name.com,,
f2ad6856-231e-47e5-bb57-265c4723ad9c,designing.archi,available,14.98,132.98,medium,low,9,namecheap,,
7181b462-1744-4f0d-802b-5043f04cc326,technically.ai,resell,,,medium,low,11,"NameCheap, Inc.",09/05/2025 13:53,09/05/2027 13:53
88d37f71-bef2-495f-913d-d78fb0a3b7d9,designs.software,premium,3125,,high,low,7,name.com,,
d41bb638-1320-4f45-84df-9ad1f4782ee7,engineers.equipment,available,19.99,,medium,low,9,name.com,,
035b434a-67a8-43cb-be1f-9ed5d0ae4763,production.engineering,resell,,,medium,low,10,Dynadot Inc,21/11/2017 23:32,21/11/2026 23:32
a122341c-7733-420e-9a12-e66315301c86,structure.repair,resell,,,high,low,9,"GoDaddy.com, LLC",07/06/2016 23:04,07/06/2026 23:04
47d51e39-9fc5-43c5-930e-3410e84309e3,mathematics.equipment,available,19.99,,medium,low,11,name.com,,
8db18496-38ed-4cf5-8627-a7b486e2b041,designing.it,resell,,,medium,low,9,,21/07/2025 18:25,21/07/2027 00:00
e67082f1-16ee-47f6-95e9-8ee879aac04b,designing.engineer,available,17.99,56.99,medium,low,9,name.com,,
0ef7329d-fd44-45da-bac1-65cd920c5285,technology.ryukyu,available,22.98,,high,low,10,namecheap,,
7b66ca06-c1d5-4d27-91bc-42be5c672be4,designs.srl,premium,57.5,,high,low,7,name.com,,
6eece63a-8669-438e-b3e5-fdacc0e853d7,designs.haus,premium,1000,,high,low,7,name.com,,
6cd029da-06b6-47bd-a563-b7a8846adce3,mathematics.build,premium,1875,,medium,low,11,name.com,,
a6a19b95-c039-4fdf-a842-192dfb8634aa,mechanized.engineering,available,10.48,85.98,low,low,10,namecheap,,
eb2dad5f-038f-4c18-a43b-5ea5703fd7c4,designs.courses,premium,250,,high,low,7,name.com,,
b85b5f51-e869-4fb4-994a-6566bfebeba8,designs.auto,available,2950,,high,low,7,namecheap,,
7a265924-2c37-4ca2-8fc9-93c66a723312,mechanized.engineer,available,17.99,56.99,low,low,10,name.com,,
297cf036-2d6d-46d6-91f9-f71fb16ae9ee,construction.international,available,14.99,,high,low,12,name.com,,
f959dce5-238c-4de1-bd79-0dec3abebf9f,mathematics.repair,available,9.99,,medium,low,11,name.com,,
cfd4ba94-5622-4009-af1d-6b1ba8d46249,research.cafe,resell,,,high,low,8,"Global Domains International, Inc. DBA DomainCostClub.com",15/10/2025 15:15,15/10/2026 15:15
5cd83084-38a1-41d9-9180-0322dd633c35,designs.support,available,11.99,,high,low,7,name.com,,
dc1fd035-9aa6-445d-9324-bdab1e2edeb6,designs.enterprises,available,5.99,,high,low,7,name.com,,
11db7adb-f3e2-46a5-a3a9-2c353d1d7a98,designs.day,premium,623.75,,high,low,7,name.com,,
211987e5-e12b-4d1f-af18-a56edca5ebcb,mathematics.how,premium,111.25,,medium,low,11,name.com,,
8b892998-d6b0-401c-92a5-8f60383f13c5,designs.degree,premium,1250,,high,low,7,name.com,,
e83caa61-cb11-481d-9928-7d6cd2879e90,designs.catering,available,46.99,,high,low,7,name.com,,
a083f8f5-fb30-4d15-a20f-e533432c76c0,mathematics.contractors,available,9.99,,medium,low,11,name.com,,
fc4fca8a-3748-41ef-80e4-de2a881302de,business.ryukyu,available,22.98,,high,medium,8,namecheap,,
e288bc73-7a27-43f8-ad6b-706090795e35,engineers.srl,available,49.99,,medium,low,9,name.com,,
d9948a41-8ab4-4f91-b5bf-f30db93cd4cd,construction.hamburg,available,59.99,,high,low,12,name.com,,
8312be46-bbc1-44d5-aea5-d7e23f0b9b13,designers.solutions,available,5.99,,high,low,9,name.com,,
7dc81d0e-6efd-48bb-b21b-f0f08b8adae0,designs.movie,available,69.99,,high,low,7,name.com,,
8e127e23-ccd8-40eb-ab90-75437125c763,designers.icu,available,1.99,,high,low,9,name.com,,
9b281e16-a94a-4691-9a7a-ad90e3529af1,mathematics.global,available,59.99,,medium,low,11,name.com,,
3f02a734-7ff1-4924-b2d8-4f6216761172,mathematics.finance,premium,118.8,118.8,medium,low,11,namesilo,,
640a2a1e-9ee5-45b8-be19-2878d6da8990,mathematics.energy,available,21.99,,medium,low,11,name.com,,
bc9dcca2-b5bb-4f98-90f8-b5c470b33cc1,electrical.build,premium,1875,1875,medium,low,10,name.com,,
49622276-7eab-4c55-961b-69e7e3bdbde8,mathematics.financial,available,29.99,,medium,low,11,name.com,,
77186cf0-1876-4759-a27f-8ab8b4ef2574,engineers.studio,available,21.99,,medium,low,9,name.com,,
71a0e210-efea-4272-8f82-5e8d1537d481,designs.computer,available,29.99,,high,low,7,name.com,,
cf935ac9-9b35-4d5a-a700-368496a46d26,designs.training,available,21.99,,high,low,7,name.com,,
6a5d9a6c-0557-46ad-93c9-f37e1580eef9,process.systems,resell,,,high,low,7,Porkbun LLC,26/08/2020 04:53,26/08/2026 04:53
5ac63f96-e631-448b-9390-84deb532e23d,designs.legal,available,9.99,,high,low,7,name.com,,
926e4f7a-e45c-46cd-a8fa-5379171e3404,mathematics.review,premium,437.5,,medium,low,11,name.com,,
f044881f-5023-47f0-b6ec-17f67a3794b2,designers.services,premium,280,560,high,low,9,namecheap,,
e4d76e61-0967-464e-8ef7-170ed5e7157e,construction.sex,available,154.98,,high,low,12,namecheap,,
9ef3f7b1-5469-4386-b1ec-74330698a939,mechanical.shop,premium,625,,high,low,10,name.com,,
abbb13a2-5639-4de3-adb7-c3b046a9a479,prototypes.parts,available,15.99,,medium,low,10,name.com,,
d7527313-9889-4903-bb65-7f064a129aee,construction.new,available,549.99,,high,low,12,name.com,,
6fdf8c81-7504-4c9d-98a2-7c15162590e0,structural.archi,available,14.98,132.98,medium,low,10,namecheap,,
f1e24ff5-43f4-45a6-8cb7-a1389fa25444,mathematics.ryukyu,available,22.98,,medium,low,11,namecheap,,
6225ac54-b88b-4cc3-b0c6-f1a9c840e712,mathematics.tel,available,10.79,10.79,medium,low,11,namesilo,,
714ef374-8ddb-4927-85c8-7c42342b0457,construction.shop,premium,625,,high,low,12,name.com,,
920a7356-bf63-4e72-83a5-d60fd0de5256,mathematics.trading,available,19.99,,medium,low,11,name.com,,
f375afdf-c334-4cdd-8ba9-31cf8c8ec198,designs.cab,available,19.99,,high,low,7,name.com,,
e45015b4-2f93-4be6-887c-dd2a085cccb5,designs.mobi,resell,,,high,low,7,"Sav.com, LLC - 44",17/08/2025 15:15,17/08/2026 15:15
829e8625-5b99-435e-b1d1-94b47a908805,mathematics.report,premium,28,28,medium,low,11,namecheap,,
23c6957e-8ae4-42cb-a464-9cd87df5bcce,designs.bio,available,9.99,,high,low,7,name.com,,
12da203d-d3a7-415f-8f24-95fb528fc381,mathematics.storage,available,509.99,529.99,medium,low,11,namesilo,,
ac5c0179-caf6-4e89-aeb7-365230a885b7,research.quest,resell,,,high,low,8,Dynadot LLC,27/08/2024 17:22,27/08/2026 23:59
1b645db8-ba41-47dc-802b-3469b8c571f9,designs.cyou,premium,309.4,618.8,high,low,7,namecheap,,
b0710bb2-e966-4c71-a0aa-56f1fd407dd8,construction.academy,available,21.99,,high,low,12,name.com,,
efec6099-564d-46ee-bdb8-a8e1e689198e,mathematics.hot,premium,125,,medium,low,11,name.com,,
df266f65-9423-47bc-bc48-27e28958101d,designs.sydney,available,54.98,,high,low,7,namecheap,,
9022d88d-bf80-4d3e-8146-220f794fa38d,mathematics.you,premium,62.5,,medium,low,11,name.com,,
4164f4e4-06d1-4d26-a857-72eae23b2555,mathematics.club,premium,1107,17.7,medium,low,11,namesilo,,
be9d73f9-20d2-4d7f-ad66-bf41dd40e4ef,designs.land,available,19.99,,high,low,7,name.com,,
fa012eb0-489c-45dc-b8d5-e690f93c4c36,mathematics.vegas,available,12.99,43.99,medium,low,11,namesilo,,
4809c497-ab1f-4afe-b405-977768a79ab0,engineers.pw,premium,374.58,,medium,low,9,name.com,,
ee29b8e2-3a4a-48db-9b68-02b6a9a64cc2,mathematics.hosting,available,309.99,329.99,medium,low,11,namesilo,,
48ec7c20-33e7-4d45-a03d-aa997cbe68ef,mathematics.srl,premium,54.28,30.68,medium,low,11,namesilo,,
0d9feb51-51b4-4f25-9832-79d503508bd9,designs.estate,premium,250,,high,low,7,name.com,,
f8fb600d-fced-4939-83f9-b0e8dd187552,designers.diamonds,premium,118.8,118.8,high,low,9,namesilo,,
f22e6f9a-ca13-4709-8aed-f4842c99cf8d,electrical.digital,resell,,,medium,low,10,"Sav.com, LLC - 12",19/01/2026 15:15,19/01/2027 15:15
5e436127-85ed-45d5-a622-e150e8c5cea3,designs.spot,premium,125,,high,low,7,name.com,,
e7a60d31-32c6-40de-bb8a-329219a9b015,information.eco,available,64.99,,high,low,11,name.com,,
5103fbdf-54ff-4fd9-9244-5e29263267b2,testing.shop,premium,625,,high,low,7,name.com,,
0558f0ef-89c0-4551-818f-1372263fb9e0,mathematics.ngo,premium,62.5,,medium,low,11,name.com,,
3d94d362-d767-423a-a5a2-3027c80df5b6,designers.rodeo,available,12.99,12.99,high,low,9,namesilo,,
99227328-906b-4a2f-ae24-bc36bf8ee203,designs.motorcycles,premium,812.5,,high,low,7,name.com,,
8c384889-2665-4a7d-9aa8-e219febec186,engineers.vote,available,49.99,,medium,low,9,name.com,,
f4b214ea-41d5-4dcf-9a3f-17468109451d,designs.football,available,19.99,,high,low,7,name.com,,
8734e480-cb40-4bb8-835c-1f717737a2ed,designs.plumbing,available,14.99,,high,low,7,name.com,,
58bc6e5f-66bd-40b2-9e54-c1bbd4564a4f,mathematics.degree,premium,1107,1107,medium,low,11,namesilo,,
399cd6c6-f636-4bdf-8441-2c632384a8cb,mathematics.flowers,available,64.99,114.99,medium,low,11,namesilo,,
0cafbb48-844f-48bf-80a1-472964620c99,mathematics.mov,premium,73.75,,medium,low,11,name.com,,
35c880af-1ffa-4134-a39d-74ca53ab822b,designs.sbs,premium,309.4,618.8,high,low,7,namecheap,,
29de3869-8b9a-480b-bedc-c8191b8aed4d,designs.moda,premium,1000,,high,low,7,name.com,,
30f3d133-5a60-4317-b23f-edaaa3382ed4,engineers.toys,available,19.99,,medium,low,9,name.com,,
2c7cfddb-cf61-4227-897b-daadfef4d0df,designers.ink,resell,,,high,low,9,"Spaceship, Inc.",25/06/2025 14:11,25/06/2026 14:11
cdd25382-e0be-4902-9c06-3c7e3a376ac0,designs.fishing,premium,50,,high,low,7,name.com,,
32c3f23e-44e5-4df4-842a-f0b563a3c5b2,designs.glass,premium,123.75,,high,low,7,name.com,,
439a490d-c476-4572-8b88-d4cd2dfc12b0,prototypes.contractors,available,9.99,,medium,low,10,name.com,,
8b91d527-1e04-455b-b573-362218ac9d99,mathematics.movie,available,69.99,,medium,low,11,name.com,,
873d0c00-9d00-4678-b1fe-b5840568e565,mathematics.travel,available,39.99,,medium,low,11,name.com,,
574d12b5-b043-4a50-8cbb-5ef9de805dd9,designers.dentist,premium,242,242,high,low,9,namesilo,,
ad1097af-c6ac-4552-a0b9-62047388315f,designers.support,resell,,,high,low,9,"Sav.com, LLC - 28",10/10/2025 15:16,10/10/2026 15:16
2caffaee-0e44-4d7b-a815-ea2439359b0b,engineers.link,premium,367.5,490,medium,low,9,namecheap,,
98abab17-567a-48ba-b4bf-9d7a57f5c006,mathematics.cleaning,available,75.49,75.49,medium,low,11,namesilo,,
5eb53125-5167-43ae-af37-d06406f750f2,engineers.shoes,available,39.99,,medium,low,9,name.com,,
cb070779-1c5b-41d5-8397-9eb64049cd2a,research.email,resell,,,high,low,8,"Global Domains International, Inc. DBA DomainCostClub.com",08/11/2025 15:15,08/11/2026 15:15
91593c09-d94e-4c30-84b1-5cca85de0aa2,designers.florist,available,14.99,,high,low,9,name.com,,
ab12ca95-4d8f-4732-8267-4e0378bf79e9,mathematics.broker,available,19.99,,medium,low,11,name.com,,
e1427a96-7126-43c0-84cb-7441b0f159e6,networks.net,resell,,,medium,low,8,"NameCheap, Inc.",14/06/1994 04:00,13/06/2027 04:00
543402fe-9a1e-42e4-b904-e0f7cdd8ab06,system.repair,resell,,,medium,medium,6,"GoDaddy.com, LLC",02/04/2014 16:00,02/04/2027 16:00
dbc12dcc-fa52-4930-96d0-d8eb2438e1f5,designs.actor,premium,1000,,high,low,7,name.com,,
f9fe0b9c-0fa8-483c-8338-ae5a18a2b455,prototypes.consulting,available,26.99,,medium,low,10,name.com,,
